"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",5.95e-07,5.95e-07,1.96e-09,"polls","Clinton","D",43,38.70729,"polls",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",5.95e-07,5.95e-07,1.96e-09,"plus","Clinton","D",43,38.57074,"plus",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",5.95e-07,5.95e-07,1.96e-09,"now","Clinton","D",43,38.56431,"now",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",5.95e-07,5.95e-07,1.96e-09,"polls","Trump","R",33,31.74836,"polls",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",5.95e-07,5.95e-07,1.96e-09,"plus","Trump","R",33,31.71595,"plus",1
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",5.95e-07,5.95e-07,1.96e-09,"now","Trump","R",33,31.97003,"now",1
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",7.69e-07,7.69e-07,3.55e-09,"polls1","Clinton","D",38,33.59884,"polls",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",7.69e-07,7.69e-07,3.55e-09,"plus1","Clinton","D",38,33.46601,"plus",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",7.69e-07,7.69e-07,3.55e-09,"now1","Clinton","D",38,33.49268,"now",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",7.69e-07,7.69e-07,3.55e-09,"polls1","Trump","R",41,40.09475,"polls",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",7.69e-07,7.69e-07,3.55e-09,"plus1","Trump","R",41,40.06483,"plus",2
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",7.69e-07,7.69e-07,3.55e-09,"now1","Trump","R",41,40.25327,"now",2
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",8.61e-07,8.61e-07,1.44e-09,"polls2","Clinton","D",44,41.72967,"polls",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",8.61e-07,8.61e-07,1.44e-09,"plus2","Clinton","D",44,41.77348,"plus",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",8.61e-07,8.61e-07,1.44e-09,"now2","Clinton","D",44,41.60506,"now",3
