"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"polls","Clinton","D",45,47.71901,"polls",1
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"plus","Clinton","D",45,47.36213,"plus",1
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"now","Clinton","D",45,47.40368,"now",1
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"polls","Trump","R",36,37.96921,"polls",1
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"plus","Trump","R",36,38.32323,"plus",1
"lv",490,"The Times-Picayune/Lucid",2016-08-01,2016-08-01,"",0,0,0,"now","Trump","R",36,38.0198,"now",1
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"polls1","Clinton","D",45,47.69233,"polls",2
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"plus1","Clinton","D",45,47.32938,"plus",2
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"now1","Clinton","D",45,47.37082,"now",2
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"polls1","Trump","R",35,36.98776,"polls",2
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"plus1","Trump","R",35,37.34819,"plus",2
"lv",912,"The Times-Picayune/Lucid",2016-08-01,2016-08-02,"",0,0,0,"now1","Trump","R",35,37.06906,"now",2
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",3.75e-08,3.75e-08,4.28e-10,"polls2","Clinton","D",43,42.21929,"polls",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",3.75e-08,3.75e-08,4.28e-10,"plus2","Clinton","D",43,42.11676,"plus",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",3.75e-08,3.75e-08,4.28e-10,"now2","Clinton","D",43,41.96762,"now",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",3.75e-08,3.75e-08,4.28e-10,"polls2","Trump","R",33,29.58028,"polls",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",3.75e-08,3.75e-08,4.28e-10,"plus2","Trump","R",33,29.57309,"plus",3
"lv",289,"Ipsos",2015-12-13,2015-12-17,"A-",3.75e-08,3.75e-08,4.28e-10,"now2","Trump","R",33,29.64898,"now",3
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",4.19e-08,4.19e-08,2.94e-10,"polls3","Clinton","D",44,45.3637,"polls",4
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",4.19e-08,4.19e-08,2.94e-10,"plus3","Clinton","D",44,45.36753,"plus",4
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",4.19e-08,4.19e-08,2.94e-10,"now3","Clinton","D",44,45.28189,"now",4
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",4.19e-08,4.19e-08,2.94e-10,"polls3","Trump","R",43,41.3611,"polls",4
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",4.19e-08,4.19e-08,2.94e-10,"plus3","Trump","R",43,41.34159,"plus",4
"rv",2001,"Morning Consult",2015-11-13,2015-11-16,"",4.19e-08,4.19e-08,2.94e-10,"now3","Trump","R",43,41.31789,"now",4
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",5.4e-08,5.4e-08,7.86e-10,"polls4","Clinton","D",38,37.12494,"polls",5
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",5.4e-08,5.4e-08,7.86e-10,"plus4","Clinton","D",38,37.02604,"plus",5
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",5.4e-08,5.4e-08,7.86e-10,"now4","Clinton","D",38,36.90147,"now",5
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",5.4e-08,5.4e-08,7.86e-10,"polls4","Trump","R",41,37.92126,"polls",5
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",5.4e-08,5.4e-08,7.86e-10,"plus4","Trump","R",41,37.91484,"plus",5
"lv",250,"Ipsos",2015-12-28,2016-01-01,"A-",5.4e-08,5.4e-08,7.86e-10,"now4","Trump","R",41,37.97855,"now",5
"rv",2047,"Morning Consult",2015-12-03,2015-12-07,"",7.75e-08,7.75e-08,7.52e-10,"polls5","Clinton","D",40,41.25091,"polls",6
"rv",2047,"Morning Consult",2015-12-03,2015-12-07,"",7.75e-08,7.75e-08,7.52e-10,"plus5","Clinton","D",40,41.2653,"plus",6
"rv",2047,"Morning Consult",2015-12-03,2015-12-07,"",7.75e-08,7.75e-08,7.52e-10,"now5","Clinton","D",40,41.18747,"now",6
"rv",2047,"Morning Consult",2015-12-03,2015-12-07,"",7.75e-08,7.75e-08,7.52e-10,"polls5","Trump","R",45,43.87802,"polls",6
"rv",2047,"Morning Consult",2015-12-03,2015-12-07,"",7.75e-08,7.75e-08,7.52e-10,"plus5","Trump","R",45,43.85578,"plus",6
"rv",2047,"Morning Consult",2015-12-03,2015-12-07,"",7.75e-08,7.75e-08,7.52e-10,"now5","Trump","R",45,43.92708,"now",6
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",8.31e-08,8.31e-08,9.64e-10,"polls6","Clinton","D",43.5,42.71329,"polls",7
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",8.31e-08,8.31e-08,9.64e-10,"plus6","Clinton","D",43.5,42.61106,"plus",7
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",8.31e-08,8.31e-08,9.64e-10,"now6","Clinton","D",43.5,42.46313,"now",7
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",8.31e-08,8.31e-08,9.64e-10,"polls6","Trump","R",30.6,27.20186,"polls",7
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",8.31e-08,8.31e-08,9.64e-10,"plus6","Trump","R",30.6,27.19469,"plus",7
"lv",620,"Ipsos",2015-12-14,2015-12-18,"A-",8.31e-08,8.31e-08,9.64e-10,"now6","Trump","R",30.6,27.26942,"now",7
"lv",514,"Ipsos",2015-12-29,2016-01-02,"A-",1.15e-07,1.15e-07,1.7e-09,"polls7","Clinton","D",43.5,42.61948,"polls",8
"lv",514,"Ipsos",2015-12-29,2016-01-02,"A-",1.15e-07,1.15e-07,1.7e-09,"plus7","Clinton","D",43.5,42.52075,"plus",8
"lv",514,"Ipsos",2015-12-29,2016-01-02,"A-",1.15e-07,1.15e-07,1.7e-09,"now7","Clinton","D",43.5,42.39867,"now",8
"lv",514,"Ipsos",2015-12-29,2016-01-02,"A-",1.15e-07,1.15e-07,1.7e-09,"polls7","Trump","R",35.7,32.64317,"polls",8
"lv",514,"Ipsos",2015-12-29,2016-01-02,"A-",1.15e-07,1.15e-07,1.7e-09,"plus7","Trump","R",35.7,32.63684,"plus",8
"lv",514,"Ipsos",2015-12-29,2016-01-02,"A-",1.15e-07,1.15e-07,1.7e-09,"now7","Trump","R",35.7,32.69929,"now",8
"lv",876,"Ipsos",2015-12-15,2015-12-19,"A-",1.21e-07,1.21e-07,1.43e-09,"polls8","Clinton","D",42.6,41.8073,"polls",9
"lv",876,"Ipsos",2015-12-15,2015-12-19,"A-",1.21e-07,1.21e-07,1.43e-09,"plus8","Clinton","D",42.6,41.70536,"plus",9
"lv",876,"Ipsos",2015-12-15,2015-12-19,"A-",1.21e-07,1.21e-07,1.43e-09,"now8","Clinton","D",42.6,41.55864,"now",9
"lv",876,"Ipsos",2015-12-15,2015-12-19,"A-",1.21e-07,1.21e-07,1.43e-09,"polls8","Trump","R",32.1,28.72342,"polls",9
"lv",876,"Ipsos",2015-12-15,2015-12-19,"A-",1.21e-07,1.21e-07,1.43e-09,"plus8","Trump","R",32.1,28.71629,"plus",9
"lv",876,"Ipsos",2015-12-15,2015-12-19,"A-",1.21e-07,1.21e-07,1.43e-09,"now8","Trump","R",32.1,28.78985,"now",9
"lv",1130,"Ipsos",2015-12-16,2015-12-20,"A-",1.61e-07,1.61e-07,1.93e-09,"polls9","Clinton","D",43.5,42.70151,"polls",10
"lv",1130,"Ipsos",2015-12-16,2015-12-20,"A-",1.61e-07,1.61e-07,1.93e-09,"plus9","Clinton","D",43.5,42.59981,"plus",10
"lv",1130,"Ipsos",2015-12-16,2015-12-20,"A-",1.61e-07,1.61e-07,1.93e-09,"now9","Clinton","D",43.5,42.45484,"now",10
"lv",1130,"Ipsos",2015-12-16,2015-12-20,"A-",1.61e-07,1.61e-07,1.93e-09,"polls9","Trump","R",30.7,27.34501,"polls",10
"lv",1130,"Ipsos",2015-12-16,2015-12-20,"A-",1.61e-07,1.61e-07,1.93e-09,"plus9","Trump","R",30.7,27.33795,"plus",10
"lv",1130,"Ipsos",2015-12-16,2015-12-20,"A-",1.61e-07,1.61e-07,1.93e-09,"now9","Trump","R",30.7,27.40945,"now",10
"lv",831,"Ipsos",2015-12-30,2016-01-03,"A-",1.91e-07,1.91e-07,2.87e-09,"polls10","Clinton","D",42.6,41.71401,"polls",11
